"full_name","stars","license","html_url","homepage","candidate_demo","suggested_id"
"pixijs/pixijs","46052","MIT","https://github.com/pixijs/pixijs",,,"pixijs-pixijs-selfhost"
"libgdx/libgdx","24518","Apache-2.0","https://github.com/libgdx/libgdx",,,"libgdx-libgdx-selfhost"
"phaserjs/phaser-ce-examples","1783","","https://github.com/phaserjs/phaser-ce-examples",,,"phaserjs-phaser-ce-examples-selfhost"
"gamelab/kiwi.js","1446","MIT","https://github.com/gamelab/kiwi.js",,,"gamelab-kiwi.js-selfhost"
"digitalfruit/limejs","1391","Apache-2.0","https://github.com/digitalfruit/limejs",,,"digitalfruit-limejs-selfhost"
"quark-dev-team/quarkjs","520","MIT","https://github.com/quark-dev-team/quarkjs",,,"quark-dev-team-quarkjs-selfhost"
"Jerenaux/phaserquest","382","MIT","https://github.com/Jerenaux/phaserquest",,,"jerenaux-phaserquest-selfhost"
"Arcticjs/Arctic.js","373","MIT","https://github.com/Arcticjs/Arctic.js",,,"arcticjs-arctic.js-selfhost"
"TomMalbran/games","358","MIT","https://github.com/TomMalbran/games",,,"tommalbran-games-selfhost"
"haxegon/haxegon","194","MIT","https://github.com/haxegon/haxegon",,,"haxegon-haxegon-selfhost"
"takahirox/toho-like-js","191","","https://github.com/takahirox/toho-like-js",,,"takahirox-toho-like-js-selfhost"
"nicupavel/openpanzer","171","","https://github.com/nicupavel/openpanzer",,,"nicupavel-openpanzer-selfhost"
"jwill/html5-game-book","158","","https://github.com/jwill/html5-game-book",,,"jwill-html5-game-book-selfhost"
"fjsantosb/Molecule","148","MIT","https://github.com/fjsantosb/Molecule",,,"fjsantosb-molecule-selfhost"
"endel/joy.js","138","MIT","https://github.com/endel/joy.js",,,"endel-joy.js-selfhost"
"tlmader/theodoric","83","","https://github.com/tlmader/theodoric",,,"tlmader-theodoric-selfhost"
"mrgriscom/minesweepr","72","Apache-2.0","https://github.com/mrgriscom/minesweepr",,,"mrgriscom-minesweepr-selfhost"
"dmcinnes/dead-valley","64","","https://github.com/dmcinnes/dead-valley",,,"dmcinnes-dead-valley-selfhost"
"abdoutech19/hangman-game","45","MIT","https://github.com/abdoutech19/hangman-game",,,"abdoutech19-hangman-game-selfhost"
"plinko-team/plinko","44","","https://github.com/plinko-team/plinko",,,"plinko-team-plinko-selfhost"
"kikito/luv.js","43","MIT","https://github.com/kikito/luv.js",,,"kikito-luv.js-selfhost"
"naoxink/devlife","36","MIT","https://github.com/naoxink/devlife",,,"naoxink-devlife-selfhost"
"roboshoes/marblerun","32","MIT","https://github.com/roboshoes/marblerun",,,"roboshoes-marblerun-selfhost"
"HTML5-Games/html5-games.github.io","32","","https://github.com/HTML5-Games/html5-games.github.io",,,"html5-games-html5-games.github.io-selfhost"
"lukefisklennon/tanksmith.io","25","","https://github.com/lukefisklennon/tanksmith.io",,,"lukefisklennon-tanksmith.io-selfhost"
