"rank","domain","url","source","query"
"1","2games.io","https://2games.io","duckduckgo","multiple"
"2","76-games.bitbucket.io","https://76-games.bitbucket.io","duckduckgo","multiple"
"3","allwebgames.com","https://allwebgames.com","duckduckgo","multiple"
"4","armorgames.com","https://armorgames.com","duckduckgo","multiple"
"5","beebom.com","https://beebom.com","duckduckgo","multiple"
"6","brainplay.com","https://brainplay.com","duckduckgo","multiple"
"7","browsergames.gg","https://browsergames.gg","duckduckgo","multiple"
"8","businesstalkmagazine.com","https://businesstalkmagazine.com","duckduckgo","multiple"
"9","cargamesarena.com","https://cargamesarena.com","duckduckgo","multiple"
"10","cargamesonline.io","https://cargamesonline.io","duckduckgo","multiple"
"11","classroom76.app","https://classroom76.app","duckduckgo","multiple"
"12","crazygames.gg","https://crazygames.gg","duckduckgo","multiple"
"13","flash-games.io","https://flash-games.io","duckduckgo","multiple"
"14","flashmuseum.org","https://flashmuseum.org","duckduckgo","multiple"
"15","free-onlinemathgames.com","https://free-onlinemathgames.com","duckduckgo","multiple"
"16","freegames.org","https://freegames.org","duckduckgo","multiple"
"17","gamecomets.com","https://gamecomets.com","duckduckgo","multiple"
"18","gameforge.com","https://gameforge.com","duckduckgo","multiple"
"19","games-unblocked.org","https://games-unblocked.org","duckduckgo","multiple"
"20","games.kidzsearch.com","https://games.kidzsearch.com","duckduckgo","multiple"
"21","games76.io","https://games76.io","duckduckgo","multiple"
"22","games76.org","https://games76.org","duckduckgo","multiple"
"23","games76ez.com","https://games76ez.com","duckduckgo","multiple"
"24","geeksgyaan.com","https://geeksgyaan.com","duckduckgo","multiple"
"25","gg.deals","https://gg.deals","duckduckgo","multiple"
"26","heygame.io","https://heygame.io","duckduckgo","multiple"
"27","ht5play.com","https://ht5play.com","duckduckgo","multiple"
"28","html5games.com","https://html5games.com","duckduckgo","multiple"
"29","html5play.online","https://html5play.online","duckduckgo","multiple"
"30","io-games.fandom.com","https://io-games.fandom.com","duckduckgo","multiple"
"31","iogamelist.com","https://iogamelist.com","duckduckgo","multiple"
"32","iogames.games","https://iogames.games","duckduckgo","multiple"
"33","iogames.me","https://iogames.me","duckduckgo","multiple"
"34","iogames.onl","https://iogames.onl","duckduckgo","multiple"
"35","iogames.space","https://iogames.space","duckduckgo","multiple"
"36","iogameslist.co","https://iogameslist.co","duckduckgo","multiple"
"37","iogameslist.org","https://iogameslist.org","duckduckgo","multiple"
"38","iogamesonly.com","https://iogamesonly.com","duckduckgo","multiple"
"39","iogamess.io","https://iogamess.io","duckduckgo","multiple"
"40","iogamesweb.com","https://iogamesweb.com","duckduckgo","multiple"
"41","itch.io","https://itch.io","duckduckgo","multiple"
"42","kakiru.com","https://kakiru.com","duckduckgo","multiple"
"43","kevin.games","https://kevin.games","duckduckgo","multiple"
"44","kizi.com","https://kizi.com","duckduckgo","multiple"
"45","lagged.com","https://lagged.com","duckduckgo","multiple"
"46","myunblockedgames.com","https://myunblockedgames.com","duckduckgo","multiple"
"47","newunblockedgames.gitlab.io","https://newunblockedgames.gitlab.io","duckduckgo","multiple"
"48","now.gg","https://now.gg","duckduckgo","multiple"
"49","online-mathgames.com","https://online-mathgames.com","duckduckgo","multiple"
"50","parade.com","https://parade.com","duckduckgo","multiple"
"51","pbskids.org","https://pbskids.org","duckduckgo","multiple"
"52","plarium.com","https://plarium.com","duckduckgo","multiple"
"53","playgama.com","https://playgama.com","duckduckgo","multiple"
"54","playhop.com","https://playhop.com","duckduckgo","multiple"
"55","playunblockedgames76.com","https://playunblockedgames76.com","duckduckgo","multiple"
"56","poki.com","https://poki.com","duckduckgo","multiple"
"57","puzzle-games.io","https://puzzle-games.io","duckduckgo","multiple"
"58","puzzlegarage.com","https://puzzlegarage.com","duckduckgo","multiple"
"59","simple.game","https://simple.game","duckduckgo","multiple"
"60","sites.google.com","https://sites.google.com","duckduckgo","multiple"
"61","slope-slope.github.io","https://slope-slope.github.io","duckduckgo","multiple"
"62","startupnoon.com","https://startupnoon.com","duckduckgo","multiple"
"63","techcult.com","https://techcult.com","duckduckgo","multiple"
"64","thejigsawpuzzles.com","https://thejigsawpuzzles.com","duckduckgo","multiple"
"65","toongo.io","https://toongo.io","duckduckgo","multiple"
"66","ubg76.gitlab.io","https://ubg76.gitlab.io","duckduckgo","multiple"
"67","unblocked-game76.com","https://unblocked-game76.com","duckduckgo","multiple"
"68","unblocked-games.org","https://unblocked-games.org","duckduckgo","multiple"
"69","unblockedgames-76.net","https://unblockedgames-76.net","duckduckgo","multiple"
"70","unblockedgames.im","https://unblockedgames.im","duckduckgo","multiple"
"71","unblockedgamesgg.com","https://unblockedgamesgg.com","duckduckgo","multiple"
"72","www.1001games.com","https://www.1001games.com","duckduckgo","multiple"
"73","www.abcya.com","https://www.abcya.com","duckduckgo","multiple"
"74","www.addictinggames.com","https://www.addictinggames.com","duckduckgo","multiple"
"75","www.agame.com","https://www.agame.com","duckduckgo","multiple"
"76","www.arcadeh5.com","https://www.arcadeh5.com","duckduckgo","multiple"
"77","www.arkadium.com","https://www.arkadium.com","duckduckgo","multiple"
"78","www.bestgames.com","https://www.bestgames.com","duckduckgo","multiple"
"79","www.bgames.com","https://www.bgames.com","duckduckgo","multiple"
"80","www.coolmathgames.com","https://www.coolmathgames.com","duckduckgo","multiple"
"81","www.crazygames.com","https://www.crazygames.com","duckduckgo","multiple"
"82","www.flashlegacy.com","https://www.flashlegacy.com","duckduckgo","multiple"
"83","www.freewebarcade.com","https://www.freewebarcade.com","duckduckgo","multiple"
"84","www.gamesgames.com","https://www.gamesgames.com","duckduckgo","multiple"
"85","www.gamespace.com","https://www.gamespace.com","duckduckgo","multiple"
"86","www.gamesradar.com","https://www.gamesradar.com","duckduckgo","multiple"
