"id","title_en","embed_url","categories","thumbnail_url"
"yegor256-jo","jo","https://yegor256.github.io/jo/","action",""
"christophmark-pendulum","pendulum","https://christophmark.github.io/pendulum/pendulum/index.html","action",""
"blackaslight-docscripts","DocScripts","https://BlackAsLight.github.io/DocScripts","action",""
"mshsheikh-the-adventure-bee","The Adventure Bee","https://tab-mshsheikh.vercel.app","action",""
"mcarlomagno-cardrivingresnet","CarDrivingResNet","https://mcarlomagno.github.io/CarDrivingResNet/","action",""
"ryanbranco-checkers","Checkers","https://RyanBranco.github.io/Checkers","action",""
"jackytea-webgl-render","webgl render","https://webgl-render.netlify.app/","action",""
"ksalehi-pianohero","PianoHero","https://ksalehi.github.io/PianoHero","action",""
"ionmateus-poliguard","poliguard","https://ionmateus.github.io/poliguard/","action",""
"denishrana09-nft-browser-game","nft browser game","https://denish-nft-game.netlify.app/","action",""
"scriptraccoon-mahjong-solitaire","mahjong solitaire","https://mahjong-solitaire.netlify.app/","action",""
"masonanders-wormhole","Wormhole","https://masonanders.github.io/Wormhole/","action",""
"antonio-r1-racing-js","racing js","https://antonio-r1.github.io/racing-js/","action",""
"samlaubscher-stellar-drift-game-m2","Stellar Drift Game M2","https://samlaubscher.github.io/Stellar-Drift-Game-M2/","action",""
